I0,I1,I2
0.2682,0.0000,0.0000
0.0908,-0.2425,0.3077
0.0909,-0.2434,0.3100
0.0922,-0.2453,0.3112
0.0920,-0.2462,0.3135
0.0915,-0.2476,0.3145
0.0921,-0.2491,0.3156
0.0926,-0.2491,0.3194
0.0911,-0.2494,0.3207
0.0907,-0.2488,0.3250
0.0892,-0.2486,0.3277
0.0892,-0.2509,0.3304
0.0888,-0.2523,0.3345
0.0884,-0.2508,0.3382
0.0868,-0.2488,0.3418
0.0841,-0.2468,0.3455
0.0841,-0.2449,0.3492
0.0812,-0.2446,0.3512
0.0790,-0.2445,0.3541
0.0771,-0.2459,0.3569
0.0768,-0.2481,0.3582
0.0752,-0.2493,0.3595
0.0745,-0.2490,0.3609
0.0745,-0.2511,0.3613
0.0737,-0.2517,0.3633
0.0739,-0.2509,0.3640
0.0748,-0.2502,0.3656
0.0760,-0.2522,0.3675
0.0769,-0.2534,0.3691
0.0761,-0.2560,0.3700
0.0763,-0.2585,0.3698
0.0752,-0.2624,0.3719
0.0760,-0.2638,0.3736
0.0775,-0.2656,0.3769
0.0786,-0.2662,0.3783
0.0794,-0.2697,0.3799
0.0805,-0.2690,0.3826
0.0803,-0.2692,0.3857
0.0802,-0.2706,0.3876
0.0803,-0.2706,0.3906
0.0816,-0.2705,0.3917
0.0815,-0.2674,0.3934
0.0821,-0.2690,0.3964
0.0826,-0.2686,0.3984
0.0835,-0.2704,0.3997
0.0862,-0.2722,0.4016
0.0863,-0.2728,0.4043
0.0866,-0.2743,0.4060
0.0868,-0.2757,0.4087
0.0863,-0.2754,0.4107
0.0858,-0.2769,0.4135
0.0854,-0.2785,0.4160
0.0833,-0.2814,0.4186
0.0810,-0.2803,0.4203
0.0800,-0.2805,0.4221
0.0805,-0.2805,0.4243
0.0805,-0.2810,0.4273
0.0799,-0.2814,0.4309
0.0794,-0.2817,0.4332
0.0787,-0.2796,0.4345
0.0794,-0.2776,0.4372
0.0787,-0.2773,0.4396
0.0777,-0.2784,0.4421
0.0774,-0.2801,0.4439
0.0765,-0.2798,0.4469
0.0755,-0.2779,0.4489
0.0757,-0.2780,0.4522
0.0749,-0.2784,0.4548
0.0735,-0.2784,0.4572
0.0725,-0.2776,0.4598
0.0720,-0.2799,0.4620
0.0723,-0.2823,0.4631
0.0741,-0.2853,0.4652
0.0741,-0.2848,0.4685
0.0754,-0.2864,0.4695
0.0768,-0.2881,0.4705
0.0759,-0.2876,0.4733
0.0753,-0.2865,0.4761
0.0760,-0.2868,0.4768
0.0759,-0.2886,0.4796
0.0761,-0.2894,0.4813
0.0762,-0.2897,0.4831
0.0761,-0.2899,0.4860
0.0762,-0.2921,0.4877
0.0768,-0.2940,0.4893
0.0777,-0.2994,0.4902
0.0772,-0.3005,0.4941
0.0770,-0.3009,0.4950
0.0778,-0.3018,0.4971
0.0784,-0.3037,0.4991
0.0790,-0.3059,0.5014
0.0785,-0.3069,0.5053
0.0795,-0.3078,0.5077
0.0794,-0.3088,0.5093
0.0787,-0.3075,0.5117
0.0794,-0.3092,0.5137
0.0797,-0.3090,0.5153
0.0806,-0.3088,0.5176
0.0813,-0.3083,0.5214
0.0808,-0.3097,0.5249
0.0811,-0.3117,0.5271
0.0800,-0.3137,0.5292
0.0796,-0.3150,0.5321
0.0798,-0.3142,0.5353
0.0808,-0.3162,0.5370
0.0794,-0.3167,0.5393
0.0785,-0.3192,0.5406
0.0773,-0.3194,0.5445
0.0764,-0.3206,0.5469
0.0773,-0.3217,0.5485
0.0765,-0.3219,0.5502
0.0763,-0.3219,0.5515
0.0754,-0.3221,0.5541
0.0754,-0.3243,0.5567
0.0754,-0.3240,0.5589
0.0771,-0.3258,0.5607
0.0792,-0.3264,0.5629
0.0815,-0.3272,0.5641
0.0820,-0.3283,0.5674
0.0823,-0.3304,0.5686
0.0825,-0.3309,0.5711
0.0828,-0.3326,0.5716
0.0832,-0.3342,0.5746
0.0819,-0.3346,0.5773
0.0827,-0.3356,0.5786
0.0847,-0.3355,0.5799
0.0859,-0.3375,0.5826
0.0863,-0.3400,0.5846
0.0863,-0.3424,0.5870
0.0867,-0.3420,0.5896
0.0878,-0.3458,0.5910
0.0903,-0.3462,0.5937
0.0921,-0.3459,0.5969
0.0950,-0.3460,0.5995
0.0960,-0.3477,0.6009
0.0962,-0.3485,0.6036
0.0971,-0.3511,0.6045
0.0975,-0.3521,0.6062
0.0983,-0.3544,0.6073
0.0974,-0.3569,0.6105
0.0983,-0.3599,0.6130
0.0983,-0.3605,0.6148
0.0975,-0.3616,0.6164
0.0955,-0.3630,0.6186
0.0934,-0.3645,0.6214
0.0929,-0.3644,0.6237
0.0929,-0.3628,0.6253
0.0915,-0.3629,0.6284
0.0883,-0.3629,0.6302
0.0857,-0.3631,0.6328
0.0824,-0.3631,0.6352
0.0819,-0.3632,0.6359
0.0821,-0.3634,0.6363
0.0822,-0.3616,0.6386
0.0807,-0.3624,0.6408
0.0808,-0.3621,0.6440
0.0814,-0.3645,0.6472
0.0814,-0.3662,0.6498
0.0812,-0.3673,0.6536
0.0809,-0.3678,0.6548
0.0822,-0.3686,0.6563
0.0837,-0.3689,0.6589
0.0822,-0.3692,0.6611
0.0813,-0.3690,0.6630
0.0818,-0.3708,0.6644
0.0828,-0.3728,0.6649
0.0832,-0.3749,0.6658
0.0838,-0.3753,0.6681
0.0839,-0.3750,0.6707
0.0846,-0.3739,0.6720
0.0853,-0.3741,0.6743
0.0850,-0.3765,0.6752
0.0846,-0.3770,0.6777
0.0851,-0.3768,0.6804
0.0858,-0.3791,0.6833
0.0857,-0.3808,0.6850
0.0857,-0.3836,0.6858
0.0858,-0.3845,0.6886
0.0858,-0.3846,0.6910
0.0870,-0.3833,0.6907
0.0875,-0.3844,0.6929
0.0875,-0.3860,0.6960
0.0873,-0.3877,0.6976
0.0862,-0.3878,0.6995
0.0859,-0.3864,0.7021
0.0855,-0.3889,0.7042
0.0855,-0.3911,0.7059
0.0861,-0.3909,0.7076
0.0873,-0.3923,0.7097
0.0875,-0.3938,0.7128
0.0864,-0.3943,0.7149
0.0863,-0.3951,0.7174
0.0858,-0.3951,0.7208
0.0862,-0.3973,0.7228
0.0871,-0.3962,0.7253
0.0874,-0.3974,0.7283
0.0861,-0.3979,0.7317
0.0860,-0.3967,0.7351
0.0864,-0.3981,0.7371
0.0861,-0.4004,0.7420
0.0866,-0.4009,0.7432
0.0859,-0.3999,0.7454
0.0862,-0.3994,0.7482
0.0873,-0.4011,0.7506
0.0884,-0.4021,0.7525
0.0888,-0.4038,0.7550
0.0909,-0.4043,0.7583
0.0914,-0.4043,0.7609
0.0916,-0.4017,0.7628
0.0909,-0.4010,0.7642
0.0896,-0.3994,0.7676
0.0890,-0.4010,0.7710
0.0900,-0.4015,0.7730
0.0904,-0.4026,0.7752
0.0900,-0.4036,0.7780
0.0902,-0.4046,0.7814
0.0904,-0.4047,0.7844
0.0906,-0.4048,0.7859
0.0899,-0.4021,0.7888
0.0904,-0.4017,0.7895
0.0909,-0.4041,0.7928
0.0901,-0.4039,0.7954
0.0885,-0.4053,0.7991
0.0882,-0.4048,0.8022
0.0874,-0.4052,0.8043
0.0889,-0.4054,0.8058
0.0901,-0.4060,0.8073
0.0896,-0.4064,0.8096
0.0902,-0.4077,0.8111
0.0896,-0.4091,0.8138
0.0904,-0.4119,0.8152
0.0909,-0.4142,0.8166
0.0913,-0.4143,0.8189
0.0913,-0.4144,0.8201
0.0927,-0.4153,0.8201
0.0929,-0.4160,0.8211
0.0937,-0.4174,0.8246
0.0926,-0.4201,0.8270
0.0917,-0.4183,0.8303
0.0919,-0.4171,0.8323
0.0921,-0.4163,0.8349
0.0924,-0.4158,0.8360
0.0928,-0.4168,0.8381
0.0922,-0.4171,0.8396
0.0931,-0.4185,0.8419
0.0925,-0.4182,0.8430
0.0920,-0.4166,0.8456
0.0914,-0.4158,0.8488
0.0912,-0.4148,0.8507
0.0925,-0.4136,0.8534
0.0918,-0.4141,0.8558
0.0916,-0.4131,0.8573
0.0921,-0.4119,0.8579
0.0917,-0.4115,0.8611
0.0912,-0.4117,0.8643
0.0922,-0.4122,0.8660
0.0918,-0.4134,0.8679
0.0922,-0.4118,0.8698
0.0928,-0.4119,0.8734
0.0927,-0.4113,0.8753
0.0928,-0.4124,0.8776
0.0928,-0.4118,0.8791
0.0940,-0.4149,0.8814
0.0941,-0.4162,0.8839
0.0942,-0.4165,0.8865
0.0948,-0.4170,0.8879
0.0943,-0.4163,0.8914
0.0939,-0.4157,0.8944
0.0929,-0.4151,0.8970
0.0917,-0.4152,0.8998
0.0920,-0.4164,0.9013
0.0907,-0.4146,0.9035
0.0903,-0.4134,0.9065
0.0894,-0.4113,0.9088
0.0902,-0.4117,0.9107
0.0899,-0.4117,0.9132
0.0902,-0.4122,0.9158
0.0900,-0.4133,0.9179
0.0903,-0.4127,0.9213
0.0883,-0.4148,0.9215
0.0887,-0.4152,0.9238
0.0889,-0.4182,0.9253
0.0896,-0.4179,0.9276
0.0897,-0.4176,0.9301
0.0908,-0.4159,0.9328
0.0902,-0.4159,0.9347
0.0910,-0.4186,0.9367
0.0904,-0.4178,0.9378
0.0909,-0.4200,0.9408
0.0916,-0.4209,0.9423
0.0916,-0.4199,0.9447
0.0923,-0.4207,0.9489
0.0928,-0.4202,0.9510
0.0915,-0.4196,0.9539
0.0910,-0.4202,0.9566
0.0907,-0.4188,0.9598
0.0890,-0.4164,0.9630
0.0895,-0.4172,0.9647
0.0893,-0.4170,0.9651
0.0904,-0.4181,0.9678
0.0906,-0.4192,0.9707
0.0893,-0.4197,0.9731
0.0880,-0.4201,0.9755
0.0890,-0.4211,0.9781
0.0895,-0.4196,0.9815
0.0894,-0.4197,0.9838
0.0884,-0.4189,0.9871
0.0889,-0.4176,0.9896
0.0887,-0.4186,0.9912
0.0883,-0.4199,0.9943
0.0880,-0.4193,0.9961
0.0875,-0.4188,0.9983
0.0863,-0.4189,1.0007
0.0860,-0.4183,1.0053
0.0865,-0.4196,1.0088
0.0869,-0.4193,1.0125
0.0857,-0.4200,1.0151
0.0845,-0.4217,1.0181
0.0829,-0.4237,1.0201
0.0831,-0.4240,1.0225
0.0839,-0.4240,1.0239
0.0841,-0.4231,1.0256
0.0830,-0.4216,1.0270
0.0837,-0.4206,1.0292
0.0837,-0.4203,1.0317
0.0832,-0.4195,1.0341
0.0828,-0.4200,1.0359
0.0835,-0.4197,1.0379
0.0835,-0.4202,1.0398
0.0847,-0.4193,1.0421
0.0836,-0.4188,1.0445
0.0816,-0.4194,1.0466
0.0826,-0.4198,1.0488
0.0846,-0.4190,1.0507
0.0829,-0.4201,1.0535
0.0823,-0.4200,1.0553
0.0811,-0.4210,1.0581
0.0813,-0.4202,1.0591
0.0812,-0.4188,1.0616
0.0815,-0.4199,1.0632
0.0812,-0.4203,1.0655
0.0810,-0.4228,1.0670
0.0812,-0.4205,1.0701
0.0806,-0.4198,1.0733
0.0800,-0.4220,1.0750
0.0800,-0.4227,1.0770
0.0799,-0.4240,1.0802
0.0795,-0.4229,1.0829
0.0786,-0.4216,1.0852
0.0799,-0.4218,1.0875
0.0799,-0.4233,1.0899
0.0801,-0.4214,1.0909
0.0798,-0.4224,1.0956
0.0792,-0.4237,1.0972
0.0792,-0.4248,1.0989
0.0784,-0.4237,1.1013
0.0783,-0.4222,1.1032
0.0774,-0.4198,1.1060
0.0772,-0.4177,1.1090
0.0776,-0.4181,1.1109
0.0766,-0.4165,1.1129
0.0757,-0.4155,1.1150
0.0759,-0.4144,1.1171
0.0755,-0.4158,1.1188
0.0761,-0.4161,1.1205
0.0758,-0.4145,1.1223
0.0753,-0.4138,1.1241
0.0754,-0.4128,1.1255
0.0744,-0.4130,1.1290
0.0748,-0.4128,1.1304
0.0732,-0.4141,1.1342
0.0732,-0.4136,1.1368
0.0729,-0.4123,1.1391
0.0722,-0.4122,1.1429
0.0732,-0.4123,1.1455
0.0731,-0.4132,1.1473
0.0744,-0.4141,1.1476
0.0743,-0.4113,1.1516
0.0743,-0.4097,1.1530
0.0739,-0.4111,1.1553
0.0727,-0.4109,1.1582
0.0712,-0.4117,1.1615
0.0703,-0.4122,1.1624
0.0708,-0.4129,1.1663
0.0706,-0.4124,1.1681
0.0691,-0.4133,1.1716
0.0686,-0.4115,1.1739
0.0699,-0.4115,1.1751
0.0698,-0.4120,1.1771
0.0703,-0.4145,1.1787
0.0701,-0.4147,1.1804
0.0691,-0.4137,1.1835
0.0687,-0.4124,1.1865
0.0691,-0.4109,1.1904
0.0678,-0.4108,1.1925
0.0683,-0.4119,1.1969
0.0684,-0.4115,1.1988
0.0688,-0.4123,1.2015
0.0683,-0.4118,1.2046
0.0682,-0.4124,1.2058
0.0682,-0.4125,1.2084
0.0671,-0.4122,1.2121
0.0671,-0.4124,1.2150
0.0673,-0.4113,1.2166
0.0687,-0.4114,1.2190
0.0690,-0.4135,1.2215
0.0701,-0.4131,1.2235
0.0718,-0.4133,1.2245
0.0727,-0.4145,1.2262
0.0727,-0.4150,1.2270
0.0725,-0.4153,1.2273
0.0724,-0.4164,1.2288
0.0730,-0.4160,1.2317
0.0737,-0.4147,1.2340
0.0730,-0.4153,1.2357
0.0728,-0.4160,1.2373
0.0729,-0.4147,1.2394
0.0740,-0.4126,1.2406
0.0750,-0.4148,1.2425
0.0750,-0.4150,1.2441
0.0765,-0.4148,1.2459
0.0774,-0.4139,1.2475
0.0781,-0.4118,1.2472
0.0775,-0.4128,1.2495
0.0775,-0.4124,1.2514
0.0764,-0.4131,1.2543
0.0759,-0.4128,1.2568
0.0752,-0.4128,1.2592
0.0734,-0.4126,1.2622
0.0729,-0.4136,1.2629
0.0720,-0.4152,1.2660
0.0739,-0.4169,1.2678
0.0741,-0.4171,1.2701
0.0744,-0.4157,1.2733
0.0740,-0.4161,1.2757
0.0739,-0.4166,1.2779
0.0752,-0.4157,1.2787
0.0757,-0.4174,1.2818
0.0759,-0.4178,1.2829
0.0761,-0.4200,1.2849
0.0762,-0.4182,1.2872
0.0764,-0.4162,1.2891
0.0768,-0.4157,1.2920
0.0770,-0.4137,1.2943
0.0767,-0.4143,1.2952
0.0762,-0.4140,1.2964
0.0763,-0.4135,1.2982
0.0766,-0.4114,1.3017
0.0768,-0.4098,1.3033
0.0771,-0.4095,1.3054
0.0781,-0.4090,1.3065
0.0783,-0.4062,1.3083
0.0767,-0.4067,1.3108
0.0774,-0.4063,1.3135
0.0771,-0.4069,1.3146
0.0766,-0.4091,1.3160
0.0762,-0.4080,1.3199
0.0750,-0.4085,1.3228
0.0758,-0.4089,1.3255
0.0760,-0.4081,1.3271
0.0755,-0.4085,1.3292
0.0769,-0.4081,1.3313
0.0788,-0.4096,1.3335
0.0797,-0.4084,1.3353
0.0789,-0.4098,1.3377
0.0781,-0.4084,1.3405
0.0786,-0.4081,1.3426
0.0789,-0.4087,1.3455
0.0789,-0.4073,1.3482
0.0780,-0.4066,1.3512
0.0773,-0.4065,1.3538
0.0775,-0.4061,1.3558
0.0779,-0.4060,1.3574
0.0776,-0.4097,1.3584
0.0792,-0.4094,1.3596
0.0785,-0.4093,1.3602
0.0786,-0.4091,1.3625
0.0793,-0.4099,1.3635
0.0801,-0.4120,1.3652
0.0790,-0.4116,1.3667
0.0791,-0.4119,1.3691
0.0785,-0.4108,1.3710
0.0793,-0.4120,1.3747
0.0782,-0.4120,1.3763
0.0771,-0.4122,1.3783
0.0767,-0.4127,1.3805
0.0776,-0.4133,1.3831
0.0769,-0.4129,1.3836
0.0766,-0.4132,1.3839
0.0774,-0.4129,1.3862
0.0787,-0.4143,1.3885
0.0797,-0.4140,1.3911
0.0807,-0.4147,1.3935
0.0802,-0.4146,1.3942
0.0782,-0.4156,1.3977
0.0789,-0.4142,1.3988
0.0790,-0.4125,1.4010
0.0799,-0.4145,1.4023
0.0798,-0.4165,1.4041
0.0795,-0.4182,1.4067
0.0790,-0.4177,1.4087
0.0791,-0.4167,1.4105
0.0788,-0.4140,1.4131
0.0787,-0.4133,1.4156
0.0793,-0.4123,1.4186
0.0799,-0.4131,1.4195
0.0813,-0.4151,1.4205
0.0794,-0.4139,1.4237
0.0789,-0.4140,1.4259
0.0806,-0.4146,1.4287
0.0806,-0.4152,1.4306
0.0804,-0.4154,1.4341
0.0791,-0.4118,1.4367
0.0797,-0.4114,1.4374
0.0805,-0.4109,1.4412
0.0800,-0.4119,1.4418
0.0789,-0.4116,1.4441
0.0801,-0.4133,1.4453
0.0812,-0.4159,1.4466
0.0812,-0.4167,1.4490
0.0829,-0.4155,1.4521
0.0843,-0.4149,1.4548
0.0847,-0.4153,1.4572
0.0857,-0.4159,1.4600
0.0863,-0.4157,1.4619
0.0861,-0.4159,1.4627
0.0853,-0.4172,1.4646
0.0850,-0.4160,1.4663
0.0850,-0.4178,1.4682
0.0847,-0.4194,1.4707
0.0845,-0.4218,1.4733
0.0851,-0.4236,1.4759
0.0856,-0.4238,1.4771
0.0847,-0.4245,1.4797
0.0844,-0.4242,1.4811
0.0844,-0.4248,1.4844
0.0842,-0.4257,1.4866
0.0825,-0.4274,1.4872
0.0828,-0.4253,1.4900
0.0820,-0.4237,1.4923
0.0806,-0.4246,1.4958
0.0811,-0.4245,1.4981
0.0816,-0.4239,1.5002
0.0837,-0.4255,1.5009
