target_angle,angle,target_speed,speed,I4,I5
0.000000,5381.000000,-160.000000,-162.000000,-12254.198242,0.000000
0.000000,5103.000000,-157.000000,-157.000000,-12523.998047,0.000000
0.000000,4842.000000,-154.000000,-153.000000,-12844.597656,0.000000
0.000000,4567.000000,-150.000000,-154.000000,-12538.197266,0.000000
0.000000,4297.000000,-147.000000,-151.000000,-12315.997070,0.000000
0.000000,4040.000000,-144.000000,-144.000000,-11899.796875,0.000000
0.000000,3777.000000,-141.000000,-145.000000,-11590.396484,0.000000
0.000000,3516.000000,-138.000000,-141.000000,-10988.596680,0.000000
0.000000,3272.000000,-134.000000,-129.000000,-10403.596680,0.000000
0.000000,3039.000000,-131.000000,-131.000000,-10392.196289,0.000000
0.000000,2811.000000,-128.000000,-127.000000,-10347.196289,0.000000
0.000000,2573.000000,-124.000000,-135.000000,-10015.396484,0.000000
0.000000,2355.000000,-121.000000,-125.000000,-10082.796875,0.000000
0.000000,2140.000000,-117.000000,-111.000000,-9697.596680,0.000000
0.000000,1928.000000,-114.000000,-118.000000,-9480.997070,0.000000
0.000000,1722.000000,-110.000000,-114.000000,-8730.197266,0.000000
0.000000,1529.000000,-107.000000,-112.000000,-8870.597656,0.000000
0.000000,1343.000000,-103.000000,-100.000000,-8625.998047,0.000000
0.000000,1157.000000,-100.000000,-105.000000,-8448.797852,0.000000
0.000000,976.000000,-96.000000,-93.000000,-7695.197754,0.000000
0.000000,810.000000,-93.000000,-93.000000,-7596.597656,0.000000
0.000000,646.000000,-89.000000,-93.000000,-7461.597656,0.000000
0.000000,495.000000,-85.000000,-81.000000,-7135.397461,0.000000
0.000000,348.000000,-81.000000,-81.000000,-6963.797363,0.000000
0.000000,200.000000,-78.000000,-85.000000,-6544.797363,0.000000
0.000000,63.000000,-74.000000,-79.000000,-6474.397461,0.000000
0.000000,8119.000000,-70.000000,-72.000000,-6097.597656,0.000000
0.000000,7993.000000,-66.000000,-68.000000,-5641.997559,0.000000
0.000000,7877.000000,-63.000000,-60.000000,-5191.997559,0.000000
0.000000,7766.000000,-59.000000,-62.000000,-5124.397461,0.000000
0.000000,7659.000000,-55.000000,-56.000000,-4604.197266,0.000000
0.000000,7564.000000,-51.000000,-53.000000,-4395.997070,0.000000
0.000000,7475.000000,-47.000000,-49.000000,-4170.997070,0.000000
0.000000,7390.000000,-44.000000,-47.000000,-3945.997070,0.000000
